sampleId,year,season,fireSeverity,fireSevN,vegType,vegTypeN,PFSI,SM,SMLag1,SMLag1Seas
1,2018,Autumn,0,Unburnt,5,Forested Wetland,91.30323673,0.556894124,0.532653272,0.372932583
1,2018,Winter,0,Unburnt,5,Forested Wetland,155.5540693,0.282230467,0.626295924,0.556894124
1,2018,Spring,0,Unburnt,5,Forested Wetland,-274.5041914,0.50146246,0.365902275,0.282230467
1,2019,Summer,0,Unburnt,5,Forested Wetland,-101.9105346,0.653228283,0.372932583,0.50146246
1,2019,Autumn,0,Unburnt,5,Forested Wetland,172.70778,0.617610753,0.556894124,0.653228283
1,2019,Winter,0,Unburnt,5,Forested Wetland,248.9066428,0.391808599,0.282230467,0.617610753
1,2019,Spring,0,Unburnt,5,Forested Wetland,137.2051445,0.567111373,0.50146246,0.391808599
1,2020,Summer,0,Unburnt,5,Forested Wetland,-60.99174598,0.563889921,0.653228283,0.567111373
1,2020,Autumn,0,Unburnt,5,Forested Wetland,-89.93255955,0.783750415,0.617610753,0.563889921
1,2020,Winter,0,Unburnt,5,Forested Wetland,-443.4778413,0.77635324,0.391808599,0.783750415
1,2020,Spring,0,Unburnt,5,Forested Wetland,-67.31978906,0.675183356,0.567111373,0.77635324
1,2021,Summer,0,Unburnt,5,Forested Wetland,-78.40671651,0.85642302,0.563889921,0.675183356
1,2021,Autumn,0,Unburnt,5,Forested Wetland,197.335932,0.858734071,0.783750415,0.85642302
1,2021,Winter,0,Unburnt,5,Forested Wetland,-70.44917177,0.557465672,0.77635324,0.858734071
1,2021,Spring,0,Unburnt,5,Forested Wetland,-569.4973587,0.711515725,0.675183356,0.557465672
1,2022,Summer,0,Unburnt,5,Forested Wetland,150.135239,0.953341424,0.85642302,0.711515725
1,2022,Autumn,0,Unburnt,5,Forested Wetland,-365.1784546,0.957437396,0.858734071,0.953341424
1,2022,Winter,0,Unburnt,5,Forested Wetland,542.5662717,0.931694806,0.557465672,0.957437396
1,2022,Spring,0,Unburnt,5,Forested Wetland,620.3270646,0.937958717,0.711515725,0.931694806
1,2023,Summer,0,Unburnt,5,Forested Wetland,-140.3077048,0.625686288,0.953341424,0.937958717
1,2023,Autumn,0,Unburnt,5,Forested Wetland,391.5130188,0.79970175,0.957437396,0.625686288
1,2023,Winter,0,Unburnt,5,Forested Wetland,-10.98029326,0.484930634,0.931694806,0.79970175
1,2023,Spring,0,Unburnt,5,Forested Wetland,196.8243518,0.781719327,0.937958717,0.484930634
1,2024,Summer,0,Unburnt,5,Forested Wetland,443.42657,0.91432935,0.625686288,0.781719327
1,2024,Autumn,0,Unburnt,5,Forested Wetland,174.3621671,0.906210721,0.79970175,0.91432935
1,2024,Winter,0,Unburnt,5,Forested Wetland,-67.9627133,0.915398359,0.484930634,0.906210721
1,2024,Spring,0,Unburnt,5,Forested Wetland,-189.5399016,0.213013664,0.781719327,0.915398359
2,2015,Summer,0,Unburnt,5,Forested Wetland,213.7752359,0.844420493,0.603853464,0.603853464
2,2015,Autumn,0,Unburnt,5,Forested Wetland,118.3623057,0.881005168,0.794888258,0.844420493
2,2015,Winter,0,Unburnt,5,Forested Wetland,830.4401073,0.803569794,0.471872181,0.881005168
2,2015,Spring,0,Unburnt,5,Forested Wetland,-1.016334626,0.681081295,0.710876107,0.803569794
2,2016,Summer,0,Unburnt,5,Forested Wetland,-398.0258896,0.735276937,0.844420493,0.681081295
2,2016,Autumn,0,Unburnt,5,Forested Wetland,-32.60551681,0.349167615,0.881005168,0.735276937
2,2016,Winter,0,Unburnt,5,Forested Wetland,29.81887136,0.412525147,0.803569794,0.349167615
2,2016,Spring,0,Unburnt,5,Forested Wetland,-45.94372595,0.169672623,0.681081295,0.412525147
2,2017,Summer,0,Unburnt,5,Forested Wetland,445.8844932,0.114781626,0.735276937,0.169672623
2,2017,Autumn,0,Unburnt,5,Forested Wetland,-10.19641281,0.577490389,0.349167615,0.114781626
2,2017,Winter,0,Unburnt,5,Forested Wetland,7.09412886,0.697112679,0.412525147,0.577490389
2,2017,Spring,0,Unburnt,5,Forested Wetland,108.8389291,0.400330901,0.169672623,0.697112679
2,2018,Summer,0,Unburnt,5,Forested Wetland,164.3059715,0.373407483,0.114781626,0.400330901
2,2018,Autumn,0,Unburnt,5,Forested Wetland,-10.68791002,0.635496199,0.577490389,0.373407483
2,2018,Winter,0,Unburnt,5,Forested Wetland,-24.63701958,0.323865265,0.697112679,0.635496199
2,2018,Spring,0,Unburnt,5,Forested Wetland,-462.3225901,0.581573784,0.400330901,0.323865265
2,2019,Summer,0,Unburnt,5,Forested Wetland,-289.8943079,0.784378469,0.373407483,0.581573784
2,2019,Autumn,0,Unburnt,5,Forested Wetland,-57.02742324,0.678598046,0.635496199,0.784378469
2,2019,Winter,0,Unburnt,5,Forested Wetland,-69.08930573,0.401824951,0.323865265,0.678598046
2,2019,Spring,0,Unburnt,5,Forested Wetland,421.5507284,0.644834697,0.581573784,0.401824951
2,2020,Summer,0,Unburnt,5,Forested Wetland,136.0383219,0.655821681,0.784378469,0.644834697
2,2020,Autumn,0,Unburnt,5,Forested Wetland,67.63159371,0.848969042,0.678598046,0.655821681
2,2020,Winter,0,Unburnt,5,Forested Wetland,11.96104579,0.828621387,0.401824951,0.848969042
2,2020,Spring,0,Unburnt,5,Forested Wetland,9.937636922,0.718319535,0.644834697,0.828621387
2,2021,Summer,0,Unburnt,5,Forested Wetland,64.77182528,0.88244009,0.655821681,0.718319535
2,2021,Autumn,0,Unburnt,5,Forested Wetland,-82.30198655,0.892989397,0.848969042,0.88244009
2,2021,Winter,0,Unburnt,5,Forested Wetland,-20.94377694,0.730644763,0.828621387,0.892989397
2,2021,Spring,0,Unburnt,5,Forested Wetland,-581.7789611,0.749867857,0.718319535,0.730644763
2,2022,Summer,0,Unburnt,5,Forested Wetland,23.23632379,0.949776411,0.88244009,0.749867857
2,2022,Autumn,0,Unburnt,5,Forested Wetland,-1517.725869,0.981246889,0.892989397,0.949776411
2,2022,Winter,0,Unburnt,5,Forested Wetland,-74.88641937,0.930591762,0.730644763,0.981246889
2,2022,Spring,0,Unburnt,5,Forested Wetland,583.5810318,0.930757761,0.749867857,0.930591762
2,2023,Summer,0,Unburnt,5,Forested Wetland,-54.98288219,0.736769736,0.949776411,0.930757761
2,2023,Autumn,0,Unburnt,5,Forested Wetland,2955.865086,0.826297581,0.981246889,0.736769736
2,2023,Winter,0,Unburnt,5,Forested Wetland,93.13082246,0.523853779,0.930591762,0.826297581
2,2023,Spring,0,Unburnt,5,Forested Wetland,-58.1279739,0.784864962,0.930757761,0.523853779
2,2024,Summer,0,Unburnt,5,Forested Wetland,-388.3392536,0.906145334,0.736769736,0.784864962
2,2024,Autumn,0,Unburnt,5,Forested Wetland,77.81791181,0.932829022,0.826297581,0.906145334
2,2024,Winter,0,Unburnt,5,Forested Wetland,-202.0541817,0.912622213,0.523853779,0.932829022
2,2024,Spring,0,Unburnt,5,Forested Wetland,114.732332,0.276335299,0.784864962,0.912622213
3,2015,Summer,0,Unburnt,5,Forested Wetland,-188.1563589,0.861487091,0.608975291,0.608975291
3,2015,Autumn,0,Unburnt,5,Forested Wetland,-136.6967667,0.85926801,0.774064541,0.861487091
3,2015,Winter,0,Unburnt,5,Forested Wetland,-171.3351996,0.812789798,0.540427864,0.85926801
3,2015,Spring,0,Unburnt,5,Forested Wetland,95.16246547,0.761759162,0.721262991,0.812789798
3,2016,Summer,0,Unburnt,5,Forested Wetland,116.9566392,0.720341146,0.861487091,0.761759162
3,2016,Autumn,0,Unburnt,5,Forested Wetland,257.8139504,0.319428712,0.85926801,0.720341146
3,2016,Winter,0,Unburnt,5,Forested Wetland,98.46528425,0.366271764,0.812789798,0.319428712
3,2016,Spring,0,Unburnt,5,Forested Wetland,-39.73566821,0.137653708,0.761759162,0.366271764
3,2017,Summer,0,Unburnt,5,Forested Wetland,-23.81965249,0.100336291,0.720341146,0.137653708
3,2017,Autumn,0,Unburnt,5,Forested Wetland,-34.08377891,0.596406877,0.319428712,0.100336291
3,2017,Winter,0,Unburnt,5,Forested Wetland,-53.7717271,0.697467327,0.366271764,0.596406877
3,2017,Spring,0,Unburnt,5,Forested Wetland,102.8769411,0.456302196,0.137653708,0.697467327
3,2018,Summer,0,Unburnt,5,Forested Wetland,15.18907076,0.484116852,0.100336291,0.456302196
3,2018,Autumn,0,Unburnt,5,Forested Wetland,119.5386868,0.614023387,0.596406877,0.484116852
3,2018,Winter,0,Unburnt,5,Forested Wetland,176.0748689,0.366081089,0.697467327,0.614023387
3,2018,Spring,0,Unburnt,5,Forested Wetland,38.98729341,0.561948836,0.456302196,0.366081089
3,2019,Summer,0,Unburnt,5,Forested Wetland,-162.1990582,0.725249469,0.484116852,0.561948836
3,2019,Autumn,0,Unburnt,5,Forested Wetland,58.32357309,0.677942514,0.614023387,0.725249469
3,2019,Winter,0,Unburnt,5,Forested Wetland,-86.46690676,0.494710594,0.366081089,0.677942514
3,2019,Spring,0,Unburnt,5,Forested Wetland,-206.3114519,0.620743752,0.561948836,0.494710594
3,2020,Summer,0,Unburnt,5,Forested Wetland,1.298581961,0.608077526,0.725249469,0.620743752
3,2020,Autumn,0,Unburnt,5,Forested Wetland,-540.4825338,0.836752653,0.677942514,0.608077526
3,2020,Winter,0,Unburnt,5,Forested Wetland,-370.3792993,0.841551721,0.494710594,0.836752653
3,2020,Spring,0,Unburnt,5,Forested Wetland,-204.4172947,0.756998539,0.620743752,0.841551721
3,2021,Summer,0,Unburnt,5,Forested Wetland,-130.2101698,0.889669955,0.608077526,0.756998539
3,2021,Autumn,0,Unburnt,5,Forested Wetland,91.97790997,0.87659204,0.836752653,0.889669955
3,2021,Winter,0,Unburnt,5,Forested Wetland,-52.87325801,0.672595501,0.841551721,0.87659204
3,2021,Spring,0,Unburnt,5,Forested Wetland,-58.55822287,0.770285189,0.756998539,0.672595501
3,2022,Summer,0,Unburnt,5,Forested Wetland,-23.57622281,0.969436169,0.889669955,0.770285189
3,2022,Autumn,0,Unburnt,5,Forested Wetland,-1222.03128,0.981462836,0.87659204,0.969436169
3,2022,Winter,0,Unburnt,5,Forested Wetland,-154.4376655,0.954886317,0.672595501,0.981462836
3,2022,Spring,0,Unburnt,5,Forested Wetland,-72.88256627,0.955132484,0.770285189,0.954886317
3,2023,Summer,0,Unburnt,5,Forested Wetland,251.7912204,0.707229078,0.969436169,0.955132484
3,2023,Autumn,0,Unburnt,5,Forested Wetland,2312.117166,0.85216099,0.981462836,0.707229078
3,2023,Winter,0,Unburnt,5,Forested Wetland,158.6196881,0.5978477,0.954886317,0.85216099
3,2023,Spring,0,Unburnt,5,Forested Wetland,218.737144,0.825288951,0.955132484,0.5978477
3,2024,Summer,0,Unburnt,5,Forested Wetland,49.26955658,0.927188337,0.707229078,0.825288951
3,2024,Autumn,0,Unburnt,5,Forested Wetland,33.79531072,0.93318671,0.85216099,0.927188337
3,2024,Winter,0,Unburnt,5,Forested Wetland,-167.1234038,0.944908619,0.5978477,0.93318671
3,2024,Spring,0,Unburnt,5,Forested Wetland,4.915105969,0.255931705,0.825288951,0.944908619
4,2015,Summer,0,Unburnt,5,Forested Wetland,67.34090244,0.704244614,0.378800482,0.378800482
4,2015,Autumn,0,Unburnt,5,Forested Wetland,341.3733997,0.617211819,0.793991327,0.704244614
4,2015,Winter,0,Unburnt,5,Forested Wetland,76.93568561,0.587581575,0.443924367,0.617211819
4,2015,Spring,0,Unburnt,5,Forested Wetland,-30.26116023,0.483809024,0.456181765,0.587581575
4,2016,Summer,0,Unburnt,5,Forested Wetland,294.0854515,0.68633163,0.704244614,0.483809024
4,2016,Autumn,0,Unburnt,5,Forested Wetland,16.20759318,0.263567179,0.617211819,0.68633163
4,2016,Winter,0,Unburnt,5,Forested Wetland,229.1413677,0.256293565,0.587581575,0.263567179
4,2016,Spring,0,Unburnt,5,Forested Wetland,180.3595615,0.118258625,0.483809024,0.256293565
4,2017,Summer,0,Unburnt,5,Forested Wetland,-144.9362252,0.03931459,0.68633163,0.118258625
4,2017,Autumn,0,Unburnt,5,Forested Wetland,-143.2217951,0.306997776,0.263567179,0.03931459
4,2017,Winter,0,Unburnt,5,Forested Wetland,-25.77052315,0.267039835,0.256293565,0.306997776
4,2017,Spring,0,Unburnt,5,Forested Wetland,-94.53446865,0.096555665,0.118258625,0.267039835
4,2018,Summer,0,Unburnt,5,Forested Wetland,-133.2205464,0.100973606,0.03931459,0.096555665
4,2018,Autumn,0,Unburnt,5,Forested Wetland,38.78493975,0.418696642,0.306997776,0.100973606
4,2018,Winter,0,Unburnt,5,Forested Wetland,-587.687171,0.136447087,0.267039835,0.418696642
4,2018,Spring,0,Unburnt,5,Forested Wetland,-125.3025327,0.332049906,0.096555665,0.136447087
4,2019,Summer,0,Unburnt,5,Forested Wetland,-20.85939956,0.373604387,0.100973606,0.332049906
4,2019,Autumn,0,Unburnt,5,Forested Wetland,121.1201734,0.484700292,0.418696642,0.373604387
4,2019,Winter,0,Unburnt,5,Forested Wetland,610.6231681,0.166296661,0.136447087,0.484700292
4,2019,Spring,0,Unburnt,5,Forested Wetland,-25.9213069,0.083946958,0.332049906,0.166296661
4,2020,Summer,0,Unburnt,5,Forested Wetland,221.2457441,0.410220176,0.373604387,0.083946958
4,2020,Autumn,0,Unburnt,5,Forested Wetland,-61.93479743,0.758547246,0.484700292,0.410220176
4,2020,Winter,0,Unburnt,5,Forested Wetland,-45.2889378,0.648924351,0.166296661,0.758547246
4,2020,Spring,0,Unburnt,5,Forested Wetland,228.0728359,0.659025669,0.083946958,0.648924351
4,2021,Summer,0,Unburnt,5,Forested Wetland,165.8574671,0.781847656,0.410220176,0.659025669
4,2021,Autumn,0,Unburnt,5,Forested Wetland,81.46468863,0.657754302,0.758547246,0.781847656
4,2021,Winter,0,Unburnt,5,Forested Wetland,201.5140852,0.563362539,0.648924351,0.657754302
4,2021,Spring,0,Unburnt,5,Forested Wetland,-138.9110971,0.558037996,0.659025669,0.563362539
4,2022,Summer,0,Unburnt,5,Forested Wetland,0.539468458,0.799692631,0.781847656,0.558037996
4,2022,Autumn,0,Unburnt,5,Forested Wetland,186.4524061,0.748637557,0.657754302,0.799692631
4,2022,Winter,0,Unburnt,5,Forested Wetland,95.05839764,0.77266109,0.563362539,0.748637557
4,2022,Spring,0,Unburnt,5,Forested Wetland,151.275596,0.87504977,0.558037996,0.77266109
4,2023,Summer,0,Unburnt,5,Forested Wetland,-173.5720558,0.37368831,0.799692631,0.87504977
4,2023,Autumn,0,Unburnt,5,Forested Wetland,-164.1523376,0.247273594,0.748637557,0.37368831
4,2023,Winter,0,Unburnt,5,Forested Wetland,-128.6798616,0.174831957,0.77266109,0.247273594
4,2023,Spring,0,Unburnt,5,Forested Wetland,-4.448698157,0.572029233,0.87504977,0.174831957
4,2024,Summer,0,Unburnt,5,Forested Wetland,316.7089004,0.413597226,0.37368831,0.572029233
4,2024,Autumn,0,Unburnt,5,Forested Wetland,16.66099332,0.804620624,0.247273594,0.413597226
4,2024,Winter,0,Unburnt,5,Forested Wetland,-247.49123,0.737411797,0.174831957,0.804620624
4,2024,Spring,0,Unburnt,5,Forested Wetland,47.79223626,0.164235145,0.572029233,0.737411797
5,2015,Summer,0,Unburnt,5,Forested Wetland,83.65880205,0.658593476,0.19915393,0.19915393
5,2015,Autumn,0,Unburnt,5,Forested Wetland,-891.216866,0.576048851,0.717603147,0.658593476
5,2015,Winter,0,Unburnt,5,Forested Wetland,122.9062036,0.313235492,0.256126016,0.576048851
5,2015,Spring,0,Unburnt,5,Forested Wetland,166.1530333,0.264510959,0.420304149,0.313235492
5,2016,Summer,0,Unburnt,5,Forested Wetland,207.84826,0.532325745,0.658593476,0.264510959
5,2016,Autumn,0,Unburnt,5,Forested Wetland,1817.552212,0.21007672,0.576048851,0.532325745
5,2016,Winter,0,Unburnt,5,Forested Wetland,-115.4299494,0.253334016,0.313235492,0.21007672
